,Age,Ratio_Famincome_to_Pov,avgday_Energy_in_kcal,avgday_Protein_in_gm,avgday_Carb_in_gm,avgday_sug_in_gm,avgday_diet_fib_in_gm,avgday_fat_in_gm,avgday_Vitamin_E_in_mcg,avgday_Vitamin_A_in_mcg,avgday_Vitamin_B1_in_mg,avgday_Vitamin_B2_in_mg,Vitamin_B6_mg,Vitamin_B12_mg,added_Vitamin_B6_mg,Vitamin_C_mg,avgday_Vitamin_D_in_mg,avgday_Vitamin_K_in_mg,avgday_calcium_in_mg,avgday_phosporus_in_mg,avgday_magnesium_in_mg,avgday_iron_in_mg,avgday_zinc_in_mg,avgday_copper_in_mg,avgday_sodium_in_mg,avgday_potassium_in_mg,avgday_selenium_in_mg,avgday_caffeine_in_mg,avg_pulse_rate,body_mass_index,tot_cholestrol_mgperdL,white_blood_cell_count,red_blood_cell_count,hemoglobin_gperdL,avg_alc_drinks_per_day,avg_cig_per_day,exercise_days_per_week,vigorous_workdays_per_week,count
avgday_potassium_in_mg,0.20822997456973016,0.12679334304797765,0.7286431974148886,0.761319497543969,0.6333805008137192,0.46068388035776314,0.7350410819905104,0.6181889312525448,0.5656470861374386,0.4698264625617314,0.6285509948403059,0.6276492183495715,0.5297729080923359,0.3764526026399952,0.12307074495619219,0.5211318690648762,0.45901769021077254,0.4217779484010077,0.6161327251922515,0.8083601861376282,0.8633404717869403,0.6120435361306998,0.6051241820017003,0.5262101263492348,0.6221530209087311,1.0,0.5942037902729215,0.2651023907788309,-0.15396405139179503,0.006212513498835143,0.0863819738539912,-0.02562293927671831,0.09740109483483096,0.19487741743462517,0.006375320750698009,-0.005026261373565357,0.12923188052473567,0.09645327450308396,
avgday_selenium_in_mg,0.0566118134178041,0.05695084019165245,0.7057916020833173,0.8437422179343436,0.5233688360948382,0.28727659677400164,0.4084774772837758,0.6578595846295782,0.43742784562133924,0.2883830381000582,0.6176900981136307,0.5319596824617909,0.4312744116049007,0.3987938346860419,0.09112225346815253,0.17340028491712547,0.3662969308637916,0.20392417323909193,0.5076784526282209,0.7570660624391924,0.5996726061110956,0.5686612007831711,0.6464460975800236,0.430497186073205,0.7356882119996934,0.5942037902729215,1.0,0.1076657178166748,-0.1224949242958287,0.035061038607701024,0.029551544390587742,0.0034444859085560734,0.13987139286199413,0.18651014032413263,0.006081183526285638,0.009114842890794764,0.09306823878139506,0.11654708919642386,
avgday_caffeine_in_mg,0.33142944818579345,0.11059704769952854,0.19538422543138947,0.13790513759706086,0.16303253906855977,0.20498405546039714,0.0741698348424119,0.17089119831205057,0.10499571492623049,0.05669728796248161,0.11757383027316677,0.3404539263967828,0.16712111978232147,0.08754213968493714,0.11833532793904225,-0.02192727018437938,0.008728470157760397,0.06344114633557064,0.06794233939530761,0.14159224451212118,0.23458286953984223,0.06528313573961217,0.10468568106902457,0.09416083925669463,0.13772241756538117,0.2651023907788309,0.1076657178166748,1.0,-0.10801173669445012,0.12550609354981032,0.16553686974694304,0.05498485608283183,0.020835751182125963,0.17720857417896443,-0.002216182719668414,0.08422149433442411,0.04334098099053918,0.15676624864296382,
avg_pulse_rate,-0.2663589652594839,-0.10036565023139371,-0.09831432590724767,-0.14202135242319053,-0.06922827079988693,-0.03293995741613917,-0.13400531421367268,-0.092962631527073,-0.09512225808626593,-0.05112744331580915,-0.08201139614904358,-0.08360336679718075,-0.05739910272209478,-0.04441482502909955,0.01775051908007882,-0.06041270278229555,-0.046014529531822945,-0.0922565617096275,-0.05274230953041089,-0.11304418233420853,-0.16277604166229892,-0.08364313424516799,-0.10315971810993649,-0.11296048504884487,-0.10947627709971497,-0.15396405139179503,-0.1224949242958287,-0.10801173669445012,1.0,-0.040099048574078644,-0.03870613815861777,0.21549675904062401,0.023755218321246017,-0.09646779893774446,0.03652597778608089,0.009761734223883637,-0.15836888273633634,-0.09749992282867896,
body_mass_index,0.28935035221136984,-0.01074818288409937,0.004175238136898607,0.04701838208967061,-0.04869365045792225,-0.02631473352782653,-0.02425136914431115,0.028284523366434992,0.01767483094194757,-0.03282052732087836,-0.05510766236698072,-0.005373302581925127,0.021893649624323094,-0.007262587440366155,-0.010492623641534679,-0.012454048053338305,-0.050547385119996395,0.033542085537179946,-0.03398794931125853,0.0003683412454840522,0.016226365651941275,-0.06377109798971572,0.0014457480916285745,0.001322418367324044,0.029256901241352804,0.006212513498835143,0.035061038607701024,0.12550609354981032,-0.040099048574078644,1.0,0.16618088139369838,0.21540262847025723,0.0948508653930473,0.05691566979226093,0.012800643092324171,-0.011563644311090098,0.025325589969897633,0.1435423409176905,
tot_cholestrol_mgperdL,0.3730372196429806,0.13931132933322965,-0.005119096098859093,0.043335238364160214,-0.05033773438641911,-0.047315862590683044,0.049443605256398925,-0.01060557880357107,0.01207499664849172,0.03353840376702575,-0.01221405764561933,0.03701080933921448,0.04429709595241171,0.0007305269399418575,-0.01789689278546153,0.013837900721574994,0.001443421954975505,0.08898468272771853,-0.026486960177957496,0.011973915796442889,0.08549296956329741,-0.026976739050060993,0.0249680614232149,0.060560787633992405,-0.003178825755229204,0.0863819738539912,0.029551544390587742,0.16553686974694304,-0.03870613815861777,0.16618088139369838,1.0,0.04085159057229507,0.046208049254407725,0.1538667697270338,-0.0034185752236339266,0.018953760059121017,0.04994337043269567,0.0864003119669569,
white_blood_cell_count,-0.02679789117604383,-0.07194526763956532,0.004032714965081311,-0.014600914308383513,0.019298300184470926,0.032765284916412035,-0.030160411386200677,-0.015177838266084515,-0.056987476704565436,-0.026047333663899934,-0.009630156092005031,0.02440665906090894,0.017192956160620526,0.02185531548810422,0.029482747943250273,-0.04384916994511861,-0.014198354283852056,-0.0609302604984813,0.01796114943527443,-0.002579780601699666,-0.028375274570869222,-0.01456322038767168,0.011276756398026899,-0.02315569631355366,-0.0028031919621169577,-0.02562293927671831,0.0034444859085560734,0.05498485608283183,0.21549675904062401,0.21540262847025723,0.04085159057229507,1.0,0.08052272093377119,0.025239252387207357,0.007351425932804411,0.04459722077892326,-0.0640123801886974,0.020611512993033154,
red_blood_cell_count,-0.08145638636794339,0.042836538000770544,0.13717107316663718,0.16193297424604985,0.12461407287773581,0.07906590982670188,0.07378848897565998,0.09892091116322442,0.0407636289196585,0.009170005753128015,0.11330125423742439,0.10963984764942893,0.11509453000655787,0.07235468969696034,0.055197748549342035,-0.001478657556087196,0.04980942114043718,-0.02210711359561831,0.10301568270301396,0.1464597277122485,0.10782017833669708,0.10745840061828375,0.12436174378812741,0.052088773201013766,0.14139184454593637,0.09740109483483096,0.13987139286199413,0.020835751182125963,0.023755218321246017,0.0948508653930473,0.046208049254407725,0.08052272093377119,1.0,0.6418076627439082,-0.005295872990846091,0.007547263098466674,0.03066770174612581,0.0844904354391329,
hemoglobin_gperdL,0.15218469277585597,0.11982667563104761,0.19410610596846012,0.21903832928416841,0.13929830599706228,0.08974265412681899,0.12549530049074206,0.1449355589661379,0.08690742148399774,0.050539438624887675,0.14184097785253028,0.18755902897194285,0.17290828670946293,0.10359543581051008,0.07890700747762956,0.02162816884376021,0.06314402585237565,0.03103488838960291,0.12664775993577468,0.19818813531444177,0.2037340988800169,0.1331072154064323,0.1774051514699012,0.10529833586371705,0.17600015775622416,0.19487741743462517,0.18651014032413263,0.17720857417896443,-0.09646779893774446,0.05691566979226093,0.1538667697270338,0.025239252387207357,0.6418076627439082,1.0,0.010291813565492228,0.042287634812306324,0.1019111568347596,0.14957146184086215,
avg_alc_drinks_per_day,0.00331212475875012,-0.029637524907927877,0.03993092777690885,0.004937971618061783,0.0095873852545423,-0.01567484518902762,-0.005288357336689747,0.00575593405877766,-0.009911059538125912,-0.00814003850150204,-0.00015632820511931025,0.0035885953300908565,0.010331182645705738,-0.0027233737705028623,-0.008933844729918816,-0.01615359106952364,-0.014858306699552504,-0.010136153192792171,0.0017307295575709378,0.012214812340095816,0.017310650703306552,-0.007957920576777808,0.0013233237573906194,-0.0013124228269606264,0.012205734598236139,0.006375320750698009,0.006081183526285638,-0.002216182719668414,0.03652597778608089,0.012800643092324171,-0.0034185752236339266,0.007351425932804411,-0.005295872990846091,0.010291813565492228,1.0,0.016663907988472944,-0.0027530983943983302,0.017635034853070095,
